estou me sentindo um pouco podre, então não sou muito ambicioso agora; tristeza
estou atualizando meu blog porque me sinto uma merda; tristeza
nunca a separo de mim porque nunca quero que ela sinta que tenho vergonha dela; tristeza
saí com meu buquê de tulipas vermelhas e amarelas debaixo do braço me sentindo um pouco mais otimista do que quando cheguei; alegria
eu estava me sentindo um pouco vaidosa quando fiz essa; tristeza
não posso entrar numa loja onde não me sinta desconfortável; medo
senti raiva ao terminar um telefonema; raiva
explico por que me apeguei a um rapaz que era, em muitos aspectos, imaturo e descomprometido, apesar da empolgação que deveria estar sentindo por ser aceita no programa de mestrado da universidade da virginia; alegria
gosto de ter a mesma sensação de falta de ar de um leitor ansioso para ver o que vai acontecer a seguir; alegria
eu brinco que me sinto mal-humorada cansada e pré-menstrual, o que provavelmente estou, mas, novamente, só passou uma semana e estou tão em forma quanto uma morsa de férias no verão; raiva
não me sinto particularmente agitado; medo
eu me sinto lindamente emocionada sabendo que essas mulheres das quais eu conhecia apenas um punhado estavam segurando a mim e meu baba em nossa jornada; tristeza
presto atenção, ela se aprofunda em uma sensação de ser invadida e desamparada; medo
apenas me sinto extremamente confortável com o grupo de pessoas que nem preciso me esconder; alegria
encontro-me na estranha posição de sentir apoio; amar
eu estava me sentindo tão desolada quanto Katniss, com certeza, estava; tristeza
eu me sinto um pouco maduro hoje; alegria
sinto que meu único papel agora seria rasgar suas velas com meu pessimismo e descontentamento; tristeza
eu sinto apenas porque uma briga nós ficamos bravos um com o outro n você quer fazer uma publicidade e deixar o mundo saber sobre a nossa briga; raiva
eu sinto que vermelhos e roxos são tão ricos e perfeitos; alegria
não tenho certeza se o sentimento de perda vai desaparecer um dia, mas pode se transformar em um doce sentimento de nostalgia pelo que compartilhei nesta vida com meu pai e pela sorte que tive de ter um pai por anos; tristeza
sinto que conheci muitos de vocês através de comentários e e-mails e por isso estou agradecido e feliz por vocês fazerem parte deste pequeno espaço; alegria
eu pesquiso meus próprios posts nos últimos anos e só me sinto satisfeito com trechos vagos de alguns deles apenas sinto que pequenos pedaços deles capturam como é ser eu ou alguém como eu em dublin no século XXI; alegria
Eu também digo a vocês na esperança de que qualquer pessoa que ainda se sinta estigmatizada ou envergonhada de seus problemas de saúde mental abandone o estigma, abandone a vergonha; tristeza
não me sinto culpada por não poder cozinhar para ele; tristeza
odeio quando sinto medo sem motivo algum; medo
estou me sentindo indignado, isso aparece em todos os lugares; raiva
roubei um livro de um dos meus autores favoritos de todos os tempos e agora me sinto uma pessoa podre; tristeza
eu me sinto insegura às vezes, mas quem não; medo
eu recomendo visitar na quarta-feira, se você puder, porque é menos lotado, então você pode fazer mais perguntas aos agricultores sem se sentir rude por segurar uma fila; raiva
tenho sentido falta dele e me sentindo tão inquieto em casa pensando nele; medo
