text;emotion;texto;emocao
i didnt feel humiliated;sadness;eu não me senti humilhado;tristeza
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake;sadness;eu posso passar de me sentindo tão sem esperança a tão malditamente esperançoso só de estar perto de alguém que se importa e está acordado;tristeza
im grabbing a minute to post i feel greedy wrong;anger;estou pegando um minuto para postar me sinto ganancioso errado;raiva
i am ever feeling nostalgic about the fireplace i will know that it is still on the property;love;sempre me sinto nostálgico da lareira saberei que ainda está na propriedade;amar
i am feeling grouchy;anger;estou me sentindo mal-humorado;raiva
ive been feeling a little burdened lately wasnt sure why that was;sadness;Eu tenho me sentido um pouco sobrecarregado ultimamente, não tinha certeza do porquê disso;tristeza
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny;surprise;tenho tomado ou miligramas ou vezes a quantidade recomendada e adormeci muito mais rápido, mas também me sinto tão engraçado;surpresa
i feel as confused about life as a teenager or as jaded as a year old man;fear;eu me sinto tão confuso sobre a vida como um adolescente ou tão cansado quanto um homem de um ano;medo
i have been with petronas for years i feel that petronas has performed well and made a huge profit;joy;estou com a petronas há anos, sinto que a petronas teve um bom desempenho e teve um lucro enorme;alegria
i feel romantic too;love;eu também me sinto romântico;amar
i feel like i have to make the suffering i m seeing mean something;sadness;eu sinto que tenho que fazer o sofrimento que estou vendo significar algo;tristeza
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter;joy;eu sinto que correr é uma experiência divina e que posso esperar ter algum tipo de encontro espiritual;alegria
i think it s the easiest time of year to feel dissatisfied;anger;eu acho que é a época mais fácil do ano para se sentir insatisfeito;raiva
i feel low energy i m just thirsty;sadness;me sinto com pouca energia estou apenas com sede;tristeza
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious;joy;tenho imensa simpatia pelo ponto geral mas como um possível proto-escritor a tentar arranjar tempo para escrever nos cantos da vida e sem sinal de um agente e muito menos de um contrato de publicação isto parece-me um pouco precioso;alegria
i do not feel reassured anxiety is on each side;joy;não me sinto tranquilizada a ansiedade está de cada lado;alegria
