não me senti humilhado; tristeza
posso passar de me sentindo tão sem esperança a tão malditamente esperançosa só de estar perto de alguém que se importa e está acordado; tristeza
estou pegando um minuto para postar me sinto ganancioso errado; raiva
estou sempre me sentindo nostálgico sobre a lareira saberei que ainda está na propriedade; amar
estou me sentindo mal-humorada; raiva
Eu tenho me sentido um pouco sobrecarregado ultimamente, não sabia ao certo por que isso acontecia; tristeza
tenho tomado ou miligramas ou vezes a quantidade recomendada e adormeci muito mais rápido, mas também me sinto tão engraçado; surpresa
eu me sinto tão confuso sobre a vida como um adolescente ou tão cansado quanto um homem de um ano; medo
estou com a petronas há anos, sinto que a petronas teve um bom desempenho e teve um lucro enorme; alegria
eu me sinto romântico também; amar
sinto que tenho que fazer com que o sofrimento que estou vendo signifique alguma coisa; tristeza
sinto que correr é uma experiência divina e que posso esperar ter algum tipo de encontro espiritual; alegria
acho que é a época do ano mais fácil para se sentir insatisfeito; raiva
sinto pouca energia estou apenas com sede; tristeza
eu tenho imensa simpatia pelo ponto geral, mas como um possível proto-escritor tentando encontrar tempo para escrever nos cantos da vida e sem nenhum sinal de um agente e muito menos um contrato de publicação, isso parece um pouco precioso; alegria
não me sinto segura de que a ansiedade esteja de cada lado; alegria
eu realmente não me senti tão envergonhada; tristeza
eu me sinto bastante patético na maioria das vezes; tristeza
comecei a me sentir sentimental com as bonecas que tinha quando criança e assim comecei uma coleção de bonecas barbie vintage dos anos sessenta; tristeza
agora me sinto comprometido e cético em relação ao valor de cada unidade de trabalho que coloco; medo
me sinto irritado e rejeitado sem que ninguém faça ou diga nada; raiva
estou me sentindo completamente sobrecarregado. Tenho duas estratégias que me ajudam a me sentir firme, despeje meu coração em meu diário na forma de uma carta a deus e termine com uma lista de cinco coisas pelas quais sou mais grato; medo
tenho a sensação de que ela se divertiu e se encantou; alegria
eu pude ajudar chai lifeline com seu apoio e incentivo é um grande sentimento e estou muito feliz que você tenha me ajudado; alegria
eu já sinto que fodi tudo porque eu não costumo comer nada de manhã; raiva
eu ainda amo meu amor e desejo o melhor para ele não posso mais tolerar o efeito que bm tem em nossas vidas e o fato de isso me transformou em uma pessoa amarga e zangada que nem sempre é particularmente gentil com as pessoas ao seu redor quando ele está se sentindo estressado; tristeza
me sinto tão inibida na cozinha de outra pessoa como se estivesse pintando na foto de outra pessoa; tristeza
fico sobrecarregado e me sinto derrotado; tristeza
eu me sinto um pouco chocada que ela sente que precisa explicar amplamente suas medidas corporais etc pp; raiva
sinto-me mais superior como galinha morta ou criança de luto; alegria
fico tonta por me sentir elegante em uma saia lápis perfeitamente ajustada; alegria
lembro-me de me sentir profundamente angustiado por alguns dias; medo
tenho ouvido e lido nos últimos dias e me sinto impressionado por mais do que algumas empresas; surpresa
subi a colina sentindo-me frustrado por ter andado totalmente errado para este curso e que um fator que nunca me prejudicou havia feito tanta diferença no dia; raiva
eu não consigo imaginar um cenário da vida real onde eu estaria emocionalmente conectado o suficiente com alguém para me sentir totalmente aceito e seguro onde é moralmente aceitável para mim ter contato físico próximo e prolongado e onde o sexo não será esperado posteriormente; alegria
não tenho certeza do que me faria sentir contente se alguma coisa; alegria
tenho sentido a necessidade de ser criativo; alegria
Eu, no entanto, quero que você saiba que, se algo que alguém está fazendo com que você se sinta menos do que seu esplêndido eu, afaste-se deles; alegria
me sinto um pouco rude escrevendo para um senhor idoso pedindo presentes porque me sinto um pouco ganancioso, mas o que é o natal senão uma ganância leve; raiva
preciso de você preciso de alguém preciso ser protegido e me sentir seguro sou pequeno agora me encontro em uma época sem palavras; alegria
eu pretendo compartilhar minhas histórias de vida cotidiana, inspirações de aventuras de viagem e criações artesanais com você e espero que você também se sinta inspirado; alegria
já tenho as minhas árvores de natal montadas tenho duas e estou a sentir-me festiva o que tenho a certeza que está a estimular-me a começar a escrever este livro; alegria
usei-o uma vez sozinho com um pouco de corretivo e durante os dias estou me sentindo corajosa, mas não quero ficar pálida, então é perfeito; alegria
