estou me sentindo muito triste e com pena de mim mesma, mas logo vou me livrar disso; tristeza
sinto como se ainda estivesse olhando para uma tela em branco pedaços de papel em branco; tristeza
sinto-me um servo fiel; amar
estou apenas me sentindo mal-humorada e azul; raiva
eu posso ter para um deleite ou se estou me sentindo festivo; alegria
começo a sentir mais apreço pelo que Deus fez por mim; alegria
estou me sentindo mais confiante de que conseguiremos cuidar desse bebê; alegria
sinto-me incrivelmente sortudo por poder falar com ela; alegria
sinto-me menos entusiasmado com o exército todos os dias; alegria
me sinto sujo e envergonhado por dizer isso; tristeza
me sinto mal-humorada, mas ainda não derrotada; raiva
eu estava driblando na mesa de centro da mamãe olhando pela janela e me sentindo muito feliz; alegria
eu acordei muitas vezes me levantei estou sentindo radiação vomitada e grogue; tristeza
eu estava me sentindo sentimental; tristeza
saí de lá uma hora e quinze minutos depois sentindo como se tivesse sido espancado com um pedaço de pau e depois colocado na prateleira e esticado; tristeza
eu nunca paro de me sentir grato por comparar com os outros eu me considerava sortudo porque não encontrei piratas cruéis e não tive que testemunhar o massacre de outros; alegria
não me senti abusada e honestamente isso melhorou um pouco o meu dia; tristeza
eu sei como é ele estressado olhando para ela enquanto ela espremia mais sabão em sua esponja; raiva
eu também adorei que você pudesse realmente sentir o desespero nessas sequências e eu gostei especialmente da emoção entre cavaleiro e escudeiro, já que eles estão juntos de maneira semelhante a batman e robin há muito tempo; amar
almocei com um velho amigo e foi bom, mas em geral não estou me sentindo enérgico; alegria
só sei que, para começar, vou me sentir tímido com isso; medo
eu sinto tentar me dizer que sou ingrata me diga que sou basicamente a pior irmã filha do mundo; tristeza
sinto que é algo que nunca se resolverá de verdade; alegria
apenas sinto que todos os meus esforços são em vão e uma perda de tempo; tristeza
sinto-me absolutamente tola por me permitir acreditar que pode ser isso para nós no mês pelo qual oramos tanto; tristeza
esperei uma eternidade para baixar e agora estou lembrando de um dia em que tive que esperar para ir ao walmart comprar um cd inteiro só para ouvir uma música e me sentir meio bobo com minha impaciência; tristeza
não sei se alguém algum dia será capaz de sentir como me sinto ou pelo menos se relacionar quando tudo está perdido você se sente sentindo falta e ansiando por eles; tristeza
sinto como se fosse a amada se preparando para o casamento; alegria
eu sentiria que perdi uma riqueza de tesouros se não lesse; tristeza
terminei o filme e me sinto meio arrependido de não ter conseguido ver isso na tela grande; tristeza
sinto que estou cuidando do meu corpo não apenas para tentar ter o tamanho certo, mas para me sentir bem e ter uma vida plena; amar
eu me sinto tão machucado eu só quero que você cuide de mim continuador; tristeza
descobri que no passado, quando blogo diariamente, tenho mais a dizer e exponho meus sentimentos e emoções de maneiras mais criativas; alegria
i para a fábrica de doces era claramente uma linha de produção turística, mas não parecia desagradável ou apressada, apenas bem planejada e profissional, uma visita interessante e pitoresca; tristeza
eu me sinto tão patética e totalmente burra por deixar as pessoas entrarem, deixá-las brincar com meus sentimentos e depois me deixar limpar essa pilha de tristeza dentro de mim; tristeza
estou me sentindo muito abençoado hoje por eles compartilharem um vínculo tão próximo; alegria
sinto constantemente esses acessos de descontentamento; tristeza
fui consumido pela culpa e outros sentimentos de descontentamento; tristeza
tenho vontade de dar uma bofetada no olho de alguém e cuspir nele uma velhinha mal-humorada tento me animar; raiva
me sinto muito especial e importante; alegria
coloco o frango de preferência com osso nas coxas de frango sem pele porque acho que têm mais sabor numa panela de barro para que fique tenra e desmanche; amar
me sinto vazio e espero novos sinais; tristeza
eu honestamente não me sinto desanimado hoje como costumo me sentir; tristeza
eu só sinto uma pressa tão dolorosa se estou ouvindo; tristeza
eu sinto mmf e não posso me dar ao trabalho de lutar contra isso; raiva
não consigo dormir ligo a música se preciso acordar ligo a música se me sinto mal-humorada música é que vem em meu socorro sempre que me sinto em êxtase as músicas estão ao meu lado se quero conhecer meu lado selvagem salve a música; tristeza
sinto-me tão descontente com esta decisão; tristeza
eu sei que é tão difícil, especialmente quando você sente que foi injustiçado; raiva
eu vejo a luz das estrelas acariciar seu cabelo não sinto mais os beijos ternos que costumávamos compartilhar eu fecho meus olhos e claramente meu coração se lembra de mil adeuses nunca poderiam apagar as brasas; amar
espero estar errado, mas não consigo ver a seleção inglesa a atingir os dois dígitos na próxima época e, a menos que invistam no resto da equipa para lhe prestar serviço, sinto que estão condenados; tristeza
eu podia sentir o cheiro do cloro sentir meus músculos doloridos ver meu treinador de bigode corpulento e companheiros de equipe pré-adolescentes e ouvir os assobios e gritos dos pais nas arquibancadas; tristeza
tenho a sensação de que ele terá muito mais sucesso do que eu; alegria
eu amo essa música e ela sempre me faz sentir feliz; alegria
Pessoal, este será um post um pouco breve, pois estou com um resfriado fedorento no momento e estou me sentindo muito, muito ruim, mas tenho outra página pronta; tristeza
sinto uma atração especial e admiração pelos bombeiros que lideraram o ataque às torres quando todos os outros estavam saindo correndo; alegria
não me senti aceito; alegria
às vezes eu me sinto como um homem de lata sem coração, às vezes como um leão covarde, mas eu realmente quero acreditar que existe um http www; raiva
só me sinto desanimada porque a indústria é enorme o que me torna especial em um mar de garotas bonitas; tristeza
eu apareci em seu escritório com uma expressão de pedra no meu rosto preparada para cortar os laços com o homem enquanto me sentia de coração partido com a perspectiva; tristeza
suponho que alguns dias sem sentir tanto calor seja melhor do que coqueluche a visita correu muito bem; amar
sinto falta de nossas conversas nossos afagos nossos beijos e os sentimentos que você só pode compartilhar com sua amada; amar
me sinto enérgico e animado para ver meus resultados no final da semana; alegria
me sinto tão envergonhada que quero desistir; tristeza
eu me sinto perfeito com você no facebook href http www; alegria
espero que ele mesmo pegue o lenço de papel, mas sinto que para ele domingo será apenas mais um dia para ser fofo e maravilhoso; alegria
também sinto que é lamentável que quase todos os leitores do encontro com o homem sejam afro-americanos ao contrário de mim; tristeza
eu pareço e me sinto miserável; tristeza
eu tento compartilhar o que eu cozinho com muitas pessoas é porque eu amo as pessoas e quero que elas se sintam amadas; amar
me sinto muito estranho hoje; medo
eu não tenho dinheiro extra estou preocupado o tempo todo e me sinto tão além de patético; tristeza
tenho a sensação de que foi porque optamos por fotografar de forma mais fotojornalística e completamente livre de adereços, o que é um dos meus favoritos pessoais; alegria
devo dizer que chegar a este ponto em que não sinto nada além de sentimentos amigáveis ​​em relação a ele leva muito tempo; alegria
eu sinto que isso é importante por si só o fato de que todos nós temos nossa própria maneira individual de luto; alegria
não posso deixar de me sentir um pouco inquieto; medo
tenho muito a aprender sinto que as pessoas me apoiam; amar
eu me sinto na altura perfeita ou apenas na altura das imagens das imagens; alegria
sinto que sou uma presença indesejada sempre que ela está por perto; tristeza
eu posso realmente decodificar, mas sinto muito por ter que vomitar meus sentimentos porque estou tão irritada e tudo está me dando nos nervos; raiva
sinto que fui punido e posso dar a volta por cima e não tenho nada a temer; tristeza
estou me sentindo muito culpada por postar fotos de um gato de rua que abracei na rua e nem mesmo postar fotos dos meus dois gatos; tristeza
eu estava me esforçando muito para agradar as pessoas e isso me deixou me sentindo tão derrotado; tristeza
tenho a sensação de que haverá muitas citações sarcásticas neste e nos próximos posts sobre ele, caramba; raiva
eu me sinto tão malditamente enojado, violado e magoado e com raiva e tudo mais; raiva
me sinto estressado ou minha família está sendo negativa o trabalho é minha fuga e todo estressor vai embora por causa das crianças; tristeza
eu disse a ela que acordei me sentindo louca por ser mulher e que provavelmente sempre vou ter que me preocupar em ser estuprada; raiva
sinto por você apesar da amargura e da saudade; amar
sinto-me em êxtase e leve como o ar; alegria
eu deitava na cama e sentia de alguma forma brilhar e sabia que mesmo que a maioria dos meningiomas fossem benignos, o meu estava crescendo e precisava sair mais cedo ou mais tarde; alegria
eu ainda sinto que estou fugindo com algo impertinente; amar
não me senti apressado; raiva
eu sinto um pouco de inveja do meu eu mais jovem eu estava em ótima forma de corrida jovem e tinha toda a minha vida pela frente; raiva
